rid,growth_mid,edad_inicial,ha
14,30,16,7
62,26,15,1
63,8,0,1
107,22,14,0
112,30,13,2
123,3,19,0
135,20,2,0
181,32,0,2
248,20,14,6
250,20,12,7
254,24,12,0
256,28,13,0
257,28,14,0
258,28,15,7
262,22,17,5
263,3,28,0
264,6,12,0
265,3,19,3
266,7,24,0
267,1,21,0
268,2,15,17
269,4,12,0
270,4,20,0
271,6,25,8
272,8,25,14
273,9,30,21
274,1,25,0
275,7,23,0
276,5,13,0
277,1,18,0
278,3,28,0
279,3,22,3
280,7,23,0
281,3,27,0
282,3,13,12
283,3,22,0
284,4,19,0
285,6,18,0
286,2,30,0
287,6,20,0
288,7,20,0
289,7,20,0
290,1,21,15
291,6,17,0
292,2,23,11
293,2,21,0
294,3,25,4
295,8,22,11
296,2,13,22
297,7,18,7
298,6,24,9
299,9,29,0
300,6,21,11
301,1,25,3
302,4,17,16
303,7,26,7
304,9,27,6
305,4,13,1
306,2,20,1
307,0,26,12
308,1,30,1
309,9,11,4
310,1,13,0
311,2,26,3
312,9,29,14
313,0,26,6
314,5,2,0
315,8,2,10
316,2,2,0
317,4,3,0
318,9,0,0
319,5,3,0
320,2,1,0
321,4,21,4
322,9,29,9
323,6,30,9
325,30,15,0
326,22,13,0
327,22,29,0
328,30,17,1
329,22,13,14
330,30,15,0
331,30,15,2
332,30,13,0
333,26,13,5
334,22,16,0
335,30,16,1
336,26,12,8
337,30,14,3
338,30,15,19
339,30,13,5
340,26,16,0
341,30,14,3
342,22,13,2
343,30,15,0
344,30,14,0
345,22,14,0
346,30,16,2
347,26,15,0
348,22,15,0
349,30,39,2
350,30,13,0
351,30,13,0
352,26,16,1
353,22,15,0
354,22,12,22
355,30,13,21
356,22,12,14
357,22,16,1
358,26,15,0
359,26,16,1
360,26,12,0
361,30,17,8
362,30,13,0
363,30,14,3
364,22,16,5
365,26,16,11
366,22,40,0
367,22,12,4
368,22,13,1
369,30,17,5
370,22,12,4
371,22,15,2
372,26,12,6
373,30,15,0
374,22,14,7
375,26,15,18
376,30,12,0
377,26,16,20
378,26,15,0
379,30,17,0
380,30,15,4
381,26,15,0
382,30,16,1
383,30,17,0
384,30,13,0
385,22,15,0
386,30,14,3
387,26,16,0
388,22,14,5
389,26,17,9
390,30,14,2
391,22,13,0
392,30,15,0
393,30,12,8
394,26,13,0
395,22,12,0
396,26,15,2
397,22,16,1
398,26,16,1
399,30,14,1
400,22,13,1
401,22,17,0
402,26,16,6
403,30,15,2
404,22,17,6
405,26,13,0
406,26,12,5
407,22,17,8
408,22,21,10
409,22,15,1
410,26,15,1
411,26,14,1
412,26,16,0
413,30,16,6
414,30,12,20
415,22,16,4
416,22,12,1
417,30,17,4
418,30,13,1
419,26,14,4
420,22,12,8
421,30,15,15
422,30,16,19
423,22,29,14
424,30,17,4
425,22,14,0
426,30,12,1
427,22,14,5
428,30,15,0
429,26,14,0
430,30,12,2
431,30,17,5
432,26,15,0
433,30,15,0
434,30,12,1
435,22,17,0
436,26,31,0
437,22,15,9
438,22,13,7
439,30,13,1
440,26,15,3
441,22,12,0
442,22,12,0
443,30,15,0
444,30,14,0
445,26,17,0
446,22,16,0
447,22,14,14
448,30,17,12
449,22,12,20
450,30,16,0
451,30,16,1
452,22,16,2
453,30,40,1
454,22,13,0
455,26,14,2
456,26,13,0
457,30,17,0
458,26,12,0
459,22,14,7
460,22,17,9
461,30,14,2
462,26,14,1
463,22,17,0
464,30,16,0
465,26,13,16
466,22,16,2
467,26,14,4
468,26,17,4
469,26,16,0
470,30,21,0
471,22,17,18
472,30,16,21
473,30,16,5
474,26,12,0
475,22,15,0
476,30,12,0
477,22,16,0
478,26,17,0
479,30,15,5
480,30,13,6
481,30,17,0
482,22,13,1
483,22,15,1
484,22,12,3
485,30,25,0
486,22,39,1
487,26,12,6
488,26,13,13
489,22,13,0
490,26,16,2
491,30,15,0
492,26,16,20
493,30,17,5
494,26,14,13
495,22,14,2
496,26,16,8
497,26,17,18
