Rodal,Solucion_ 1,Solucion_ 2,Solucion_ 3,Solucion_ 4,Solucion_ 5
0,"[7, 19]","[6, 18]","[7, 19]","[7, 19]","[7, 19]"
1,0,0,0,0,0
2,0,0,0,0,0
3,"[-1, 9]","[-1, 9]","[-1, 9]","[-1, 9]","[-1, 10]"
4,0,0,0,0,0
5,"[-1, 12]","[-1, 12]","[-1, 12]","[-1, 12]","[-1, 12]"
6,0,0,0,0,0
7,"[8, -1]","[8, -1]","[7, -1]","[8, -1]","[8, -1]"
8,"[9, -1]","[10, -1]","[9, -1]","[8, -1]","[9, -1]"
9,"[6, 18]","[7, 19]","[6, 18]","[6, 18]","[6, 18]"
10,"[10, -1]","[10, -1]","[10, -1]","[10, -1]","[10, -1]"
11,"[-1, 18]","[-1, 18]","[-1, 18]","[-1, 18]","[-1, 18]"
12,"[-1, 9]","[-1, 9]","[-1, 9]","[-1, 9]","[-1, 9]"
13,"[-1, 10]","[-1, 10]","[-1, 10]","[-1, 10]","[-1, 10]"
14,0,0,0,0,0
15,"[-1, 9]","[-1, 9]","[-1, 9]","[-1, 9]","[-1, 9]"
16,"[-1, 9]","[-1, 9]","[-1, 9]","[-1, 9]","[-1, 9]"
17,0,0,0,0,0
18,0,0,0,0,0
19,"[-1, 12]","[-1, 12]","[-1, 12]","[-1, 12]","[-1, 12]"
20,"[-1, 12]","[-1, 12]","[-1, 12]","[-1, 12]","[-1, 12]"
21,0,0,0,0,0
22,"[-1, 12]","[-1, 11]","[-1, 12]","[-1, 12]","[-1, 12]"
23,0,0,0,0,0
24,"[-1, 11]","[-1, 11]","[-1, 11]","[-1, 11]","[-1, 11]"
25,"[-1, 8]","[-1, 8]","[-1, 8]","[-1, 8]","[-1, 8]"
26,"[-1, 9]","[-1, 9]","[-1, 10]","[-1, 9]","[-1, 8]"
27,"[9, -1]","[9, -1]","[9, -1]","[9, -1]","[9, -1]"
28,"[-1, 10]","[-1, 10]","[-1, 9]","[-1, 10]","[-1, 10]"
29,"[-1, 9]","[-1, 9]","[-1, 9]","[-1, 9]","[-1, 9]"
30,0,0,0,0,0
31,0,0,0,0,0
32,0,0,0,0,0
33,"[-1, 11]","[-1, 11]","[-1, 11]","[-1, 11]","[-1, 11]"
34,"[-1, 8]","[-1, 8]","[-1, 8]","[-1, 8]","[-1, 8]"
35,"[10, -1]","[10, -1]","[10, -1]","[10, -1]","[10, -1]"
